"","row","col"
"",63391,1
"",63392,1
"",70523,1
"",71665,1
"",71666,1
"",79389,1
"",81120,1
"",81121,1
"",84608,1
"",85943,1
"",85944,1
"x1_pos",27,219.1992222
"",3373,1
"",30323,1
"",30324,1
"",52152,1
"",56609,1
"",56610,1
"",56611,1
"",56612,1
"",56644,1
"",56645,1
"",64378,1
"",65752,1
"",65753,1
"",69351,1
"",69352,1
"",72390,1
"x1_pos",28,220.19
"",2371,1
"",2372,1
"",45708,1
"",45709,1
"",63393,1
"",63394,1
"x1_pos",29,234.201
"",8496,1
"",8497,1
"",24294,1
"",24295,1
"",24296,1
"",24297,1
"",49817,1
"",49818,1
"",52484,1
"",52485,1
"",52486,1
"",52487,1
"",59929,1
"",59930,1
"",62971,1
"",62972,1
"",62973,1
"",62974,1
"x1_pos",30,237.1785455
"",56829,1
"",56830,1
"",63144,1
"",63145,1
"",88627,1
"",88628,1
"",67788,2
"x1_pos",31,254.2781429
"",335,1
"",11159,1
"",18290,1
"",23565,1
"",30934,1
"",38355,1
"",44466,1
"",62045,1
"",70278,1
"",78184,1
"",84332,1
"x1_pos",32,279.152
"",64289,1
"",64290,1
"",8132,3
"",32669,3
"",54220,3
"",66775,3
"x1_pos",33,303.2601333
"",5697,1
"",5698,1
"",5699,1
"",5700,1
"",14603,1
"",14604,1
"",14605,1
"",14606,1
"",18426,1
"",18427,1
"",18428,1
"",18429,1
"",27157,1
"",27158,1
"",27159,1
"",27160,1
"",34487,1
"",34488,1
"",34489,1
"",34490,1
"",38517,1
"",38518,1
"",38519,1
"",38520,1
"",47970,1
"",47971,1
"",47972,1
"",47973,1
"",56819,1
"",56820,1
"",56821,1
"",56822,1
"",59147,1
"",59148,1
"",59267,1
"",59268,1
"",64971,1
"",64972,1
"",64973,1
"",67414,1
"",67415,1
"",74073,1
"",74074,1
"",74075,1
"",74076,1
"",78343,1
"",78344,1
"",78345,1
"",78346,1
"",88619,1
"",88620,1
"",88621,1
"",88622,1
"x1_pos",34,304.2874444
"",29979,1
"",29980,1
"",39712,1
"",39713,1
"",39714,1
"",42918,1
"",42919,1
"",54736,1
"",54737,1
"",60556,1
"",60557,1
"",62476,1
"",62477,1
"",62478,1
"",3464,3
"",3465,3
"",3466,3
"",3467,3
"",3468,3
"",3469,3
"",3470,3
"",5161,3
"",13125,3
"",13126,3
"",13127,3
"",13128,3
"",13129,3
"",13130,3
"",21878,3
"",21879,3
"",25632,3
"",25633,3
"",25634,3
"",25635,3
"",25636,3
"",25637,3
"",32984,3
"",32985,3
"",32986,3
"",32987,3
"",32988,3
"",32989,3
"",34144,3
"",42620,3
"",42621,3
"",42622,3
"",46456,3
"",46457,3
"",46458,3
"",46459,3
"",47627,3
"",54653,3
"",54654,3
"",54655,3
"",54656,3
"",54657,3
"",54658,3
"",54659,3
"",54660,3
"",54661,3
"",54662,3
"",54663,3
"",54664,3
"",54665,3
"",56355,3
"",61573,3
"",72461,3
"",72462,3
"",72463,3
"",72464,3
"",72465,3
"",72466,3
"",82469,3
"",82470,3
"",82471,3
"",82472,3
"",86838,3
"",86839,3
"",86840,3
"",86841,3
"",86842,3
"",86843,3
"x1_pos",35,331.3017143
"",54850,1
"",54851,1
"x1_pos",36,348.2835
"",62812,1
"",60718,2
"",60719,2
"",63773,3
"",63774,3
"",63775,3
"x1_pos",37,352.3123
"",51539,1
"",51540,1
"x1_pos",38,354.3226667
"",8520,1
"",8521,1
"",16486,1
"",16487,1
"",29082,1
"",29083,1
"",36442,1
"",36443,1
"",49839,1
"",49840,1
"",59951,1
"",59952,1
"",76130,1
"",76131,1
"",80613,1
"",80614,1
"",90950,1
"",90951,1
"x1_pos",39,359.0508947
"",5575,1
"",47876,1
"",52353,1
"",65728,1
"",5521,2
"",5522,2
"",5523,2
"",14485,2
"",14486,2
"",14487,2
